Studio,Date,Day,Schedule,Booked,Available,Goal
Back Bay,10/7/25,(3) Tuesday,30,9,21,29
Bryn Mawr,10/7/25,(3) Tuesday,22,1,21,9
Chestnut Hill,10/7/25,(3) Tuesday,31,25,6,24
Clarendon,10/7/25,(3) Tuesday,34,8,26,13
Cobble Hill,10/7/25,(3) Tuesday,35,10,25,22
Georgetown,10/7/25,(3) Tuesday,38.5,10,28.5,22
Hingham,10/7/25,(3) Tuesday,32,4,28,13
Hoboken,10/7/25,(3) Tuesday,41.75,6,35.75,23
Jersey City,10/7/25,(3) Tuesday,34,6,28,30
Logan Circle,10/7/25,(3) Tuesday,33,9,24,27
Long Island City,10/7/25,(3) Tuesday,34,8,26,20
Lynnfield,10/7/25,(3) Tuesday,32,3,29,15
Murray Hill,10/7/25,(3) Tuesday,46.75,4,42.75,24
Prospect Heights,10/7/25,(3) Tuesday,46,7,39,19
Rittenhouse Square,10/7/25,(3) Tuesday,33,7,26,17
Roslyn,10/7/25,(3) Tuesday,24,6,18,13
Tribeca,10/7/25,(3) Tuesday,42,10,32,26
Union Square,10/7/25,(3) Tuesday,61,18,43,46
Upper East Side,10/7/25,(3) Tuesday,65,20,45,37
West 100th,10/7/25,(3) Tuesday,34,7,27,29
Westport,10/7/25,(3) Tuesday,38,6,32,22
Williamsburg,10/7/25,(3) Tuesday,72,14,58,45
