Business Name,Location Name,Date,Day,Time (Number),Time,Scheduled Minutes,Booked Minutes,Available Minutes,Available Appointments
Glowbar,Back Bay,09/30/2025,(3) Tuesday,7,7:00 AM,0,0,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,8,8:00 AM,120,80,40,1
Glowbar,Back Bay,09/30/2025,(3) Tuesday,9,9:00 AM,160,120,40,1
Glowbar,Back Bay,09/30/2025,(3) Tuesday,10,10:00 AM,180,140,40,1
Glowbar,Back Bay,09/30/2025,(3) Tuesday,11,11:00 AM,140,60,80,2
Glowbar,Back Bay,09/30/2025,(3) Tuesday,12,12:00 PM,120,100,20,0.5
Glowbar,Back Bay,09/30/2025,(3) Tuesday,13,1:00 PM,160,20,140,3.5
Glowbar,Back Bay,09/30/2025,(3) Tuesday,14,2:00 PM,180,180,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,15,3:00 PM,220,140,80,2
Glowbar,Back Bay,09/30/2025,(3) Tuesday,16,4:00 PM,220,100,120,3
Glowbar,Back Bay,09/30/2025,(3) Tuesday,17,5:00 PM,140,140,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,18,6:00 PM,140,140,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,19,7:00 PM,180,180,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,20,8:00 PM,120,120,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,21,9:00 PM,0,0,0,0
Glowbar,Back Bay,09/30/2025,(3) Tuesday,22,10:00 PM,0,0,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,7,7:00 AM,0,0,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,8,8:00 AM,120,20,100,2.5
Glowbar,Back Bay,10/01/2025,(4) Wednesday,9,9:00 AM,120,60,60,1.5
Glowbar,Back Bay,10/01/2025,(4) Wednesday,10,10:00 AM,120,20,100,2.5
Glowbar,Back Bay,10/01/2025,(4) Wednesday,11,11:00 AM,80,60,20,0.5
Glowbar,Back Bay,10/01/2025,(4) Wednesday,12,12:00 PM,80,80,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,13,1:00 PM,120,40,80,2
Glowbar,Back Bay,10/01/2025,(4) Wednesday,14,2:00 PM,120,0,120,3
Glowbar,Back Bay,10/01/2025,(4) Wednesday,15,3:00 PM,120,80,40,1
Glowbar,Back Bay,10/01/2025,(4) Wednesday,16,4:00 PM,120,120,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,17,5:00 PM,120,120,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,18,6:00 PM,120,120,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,19,7:00 PM,120,120,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,20,8:00 PM,80,40,40,1
Glowbar,Back Bay,10/01/2025,(4) Wednesday,21,9:00 PM,0,0,0,0
Glowbar,Back Bay,10/01/2025,(4) Wednesday,22,10:00 PM,0,0,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,7,7:00 AM,0,0,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,8,8:00 AM,120,40,80,2
Glowbar,Back Bay,10/02/2025,(5) Thursday,9,9:00 AM,120,0,120,3
Glowbar,Back Bay,10/02/2025,(5) Thursday,10,10:00 AM,120,40,80,2
Glowbar,Back Bay,10/02/2025,(5) Thursday,11,11:00 AM,80,0,80,2
Glowbar,Back Bay,10/02/2025,(5) Thursday,12,12:00 PM,80,0,80,2
Glowbar,Back Bay,10/02/2025,(5) Thursday,13,1:00 PM,120,0,120,3
Glowbar,Back Bay,10/02/2025,(5) Thursday,14,2:00 PM,120,100,20,0.5
Glowbar,Back Bay,10/02/2025,(5) Thursday,15,3:00 PM,120,60,60,1.5
Glowbar,Back Bay,10/02/2025,(5) Thursday,16,4:00 PM,120,120,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,17,5:00 PM,80,80,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,18,6:00 PM,100,100,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,19,7:00 PM,100,100,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,20,8:00 PM,80,0,80,2
Glowbar,Back Bay,10/02/2025,(5) Thursday,21,9:00 PM,0,0,0,0
Glowbar,Back Bay,10/02/2025,(5) Thursday,22,10:00 PM,0,0,0,0
Glowbar,Back Bay,10/03/2025,(6) Friday,7,7:00 AM,0,0,0,0
