,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,AVAILABLE APPOINTMENTS,,,,,,,,,,,,,,,,,,,,
,  Date Range,,,9/28/2025,09/28/2025,,,,Studio,Date,Day,Schedule,Booked,Available,Goal,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM
,,,,,,,,,Back Bay,09/28/2025,(1) Sunday,54,43,11,51,5.5,1.5,0,0,0,0,1.5,1.5,0,0,0,0,1,0
,  Studio,,,All Locations,TRUE,,,,Bryn Mawr,09/28/2025,(1) Sunday,45,22,23,17,1.5,0.5,1.5,0.5,1,3,4,6,2.5,1.5,1,0,0,0
,,,,,,,,,Chestnut Hill,09/28/2025,(1) Sunday,34,22,12,42,2.5,0.5,0,0,1,1,1,2,1,1,0,1,1,0
,,,,,,,,,Cobble Hill,09/28/2025,(1) Sunday,61,58,3,46,1,1,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,Georgetown,09/28/2025,(1) Sunday,52,27,25,39,1.5,0.5,0,1,1,0,4,3,4,5,1.5,1.5,2,0
,,,,,,,,,Hingham,09/28/2025,(1) Sunday,28,14,14,21,0,1.5,0.5,1,0,1.5,0.5,2,2,2,3,0,0,0
,,,,,,,,,Hoboken,09/28/2025,(1) Sunday,45,38,7,48,2.5,0.5,0,0,0.5,2.5,0,0,0.5,0.5,0,0,0,0
,,,,,,,,,Jersey City,09/28/2025,(1) Sunday,61,31,30,52,6,3,1,0,1,4,4.5,1.5,1,2,1.5,1.5,3,0
,,,,,,,,,Logan Circle,09/28/2025,(1) Sunday,33,27,6,47,0,0,0,0,0,0,2.5,0.5,0.5,1.5,0,0,1,0
,,,,,,,,,Long Island City,09/28/2025,(1) Sunday,54,33,21,34,1.5,1.5,0.5,0.5,0,0,3,3,1,3,0.5,1.5,4,1
,,,,,,,,,Lynnfield,09/28/2025,(1) Sunday,38,18,20,24,0,1.5,3.5,0.5,0.5,3.5,4.5,2,2,1.5,0.5,0,0,0
,  Day of the Week,,,,,,,,Murray Hill,09/28/2025,(1) Sunday,64,31,33,49,4.5,2.5,0,1,2.5,2.5,1.5,3.5,4.5,2.5,0.5,3.5,4,0
,,"(7) Saturday, (1) Sunday, (6) Friday, (5) Thursday, (2) Monday, (3) Tuesday, (4) Wednesday",,,,,,,Prospect Heights,09/28/2025,(1) Sunday,75,65,10,48,3.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,Rittenhouse Square,09/28/2025,(1) Sunday,47,42,5,29,0,0,0,0,0,1.5,0.5,1,0,0,0,2,0,0
,,,,,,,,,Roslyn,09/28/2025,(1) Sunday,56,31,25,37,1.5,1.5,1.5,0.5,2,5,3,2,1.5,2.5,2,2,0,0
,,,,,,,,,Tribeca,09/28/2025,(1) Sunday,51,43,8,39,4,1,0,0,1.5,0.5,0,0,0,0,0,0,1,0
,,Studio,,Appts Available,Goal,,,,Union Square,09/28/2025,(1) Sunday,78,53,25,73,5.5,4.5,3,0,1,4,2,1,0,0,0,0,4,0
,,Total,,343,906,,,,Upper East Side,09/28/2025,(1) Sunday,85,57,28,51,5.5,1.5,0,1,1,4,2.5,3.5,3.5,1.5,1,1,2,0
,,Back Bay,,11,51,,,,West 100th,09/28/2025,(1) Sunday,53,35,18,60,2,1,0.5,0.5,0.5,1.5,2,2,0,0,3.5,3.5,1,0
,,Bryn Mawr,,23,17,,,,Westport,09/28/2025,(1) Sunday,60,52,8,44,0,0,0.5,1.5,1.5,1.5,0,1,0,0,0,2,0,0
,,Chestnut Hill,,12,42,,,,Williamsburg,09/28/2025,(1) Sunday,72,61,11,55,2,1,0.5,1.5,0,0,2,1,0.5,1.5,0,0,0.5,0.5
,,Cobble Hill,,3,46,,,,,,,,,,,,,,,,,,,,,,,,
,,Georgetown,,25,39,,,,,,,,,,,,,,,,,,,,,,,,
,,Hingham,,14,21,,,,,,,,,,,,,,,,,,,,,,,,
,,Hoboken,,7,48,,,,,,,,,,,,,,,,,,,,,,,,
,,Jersey City,,30,52,,,,,,,,,,,,,,,,,,,,,,,,
,,Logan Circle,,6,47,,,,,,,,,,,,,,,,,,,,,,,,
,,Long Island City,,21,34,,,,,,,,,,,,,,,,,,,,,,,,
,,Lynnfield,,20,24,,,,,,,,,,,,,,,,,,,,,,,,
,,Murray Hill,,33,49,,,,,,,,,,,,,,,,,,,,,,,,
,,Prospect Heights,,10,48,,,,,,,,,,,,,,,,,,,,,,,,
,,Rittenhouse Square,,5,29,,,,,,,,,,,,,,,,,,,,,,,,
,,Roslyn,,25,37,,,,,,,,,,,,,,,,,,,,,,,,
,,Tribeca,,8,39,,,,,,,,,,,,,,,,,,,,,,,,
,,Union Square,,25,73,,,,,,,,,,,,,,,,,,,,,,,,
,,Upper East Side,,28,51,,,,,,,,,,,,,,,,,,,,,,,,
,,West 100th,,18,60,,,,,,,,,,,,,,,,,,,,,,,,
,,Westport,,8,44,,,,,,,,,,,,,,,,,,,,,,,,
,,Williamsburg,,11,55,,,,,,,,,,,,,,,,,,,,,,,,
