AVAILABLE APPOINTMENTS,,,,,,,,,,,,,,,,,,,,
Studio,Date,Percent available,Schedule,Booked,Available,Goal,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM
Back Bay,9/29/25,35%,51,33,18,48,0.5,3.5,2,1,0.5,2.5,3.5,1.5,0,0,0,1,2,0
Bryn Mawr,9/29/25,63%,32,12,20,23,0.5,1.5,1,3,2,3,3.5,3.5,1.5,0.5,0,0,0,0
Chestnut Hill,9/29/25,47%,38,20,18,39,2,3,0,0,2,4,3.5,2.5,0,0,0,0,1,0
Cobble Hill,9/29/25,43%,63,36,27,44,1,0,1,2,4,2,3.5,3.5,3.5,0.5,1,3,2,0
Georgetown,9/29/25,81%,31,6,25,37,1.5,1.5,0.5,0.5,1.5,2,3.5,4,3,2,2.5,1.5,1,0
Hingham,9/29/25,69%,32,10,22,20,2.5,1.5,2,1,1,3,1.5,1.5,3,2,0.5,2.5,0,0
Hoboken,9/29/25,45%,69,38,31,46,3.5,4.5,3.5,1.5,3.5,3.5,3.5,4.5,2.5,0.5,0,0,0,0
Jersey City,9/29/25,60%,52,21,31,49,2,3,2.5,1.5,3,3,4.5,5.5,4,1,0,0,1,0
Logan Circle,9/29/25,43%,37,21,17,44,0.5,0.5,0.5,3.5,0.5,2.5,2,4,2,0,0,0,1,0
Long Island City,9/29/25,46%,41,22,19,31,1.5,1.5,1.5,1.5,0,1,2,2,2.5,1.5,0,1,2.5,0.5
Lynnfield,9/29/25,50%,40,20,20,22,1,0,0.5,1.5,0.5,2.5,1.5,4.5,3,1,1.5,2.5,0,0
Murray Hill,9/29/25,68%,60,19,41,35,1,2,3,1,2.5,3.5,4,5,4.5,1.5,5,6,2,0
Prospect Heights,9/29/25,27%,63,46,17,45,1,0,1,2,0,0,2,5,1,0,0,1,3,1
Rittenhouse Square,9/29/25,44%,43,24,19,27,0,3,3,0.5,0.5,0,1,2.5,3.5,2,0,1,2,0
Roslyn,9/29/25,67%,48,16,32,28,3,3,0,0,1,4,4.5,3.5,3,3,3.5,3.5,0,0
Tribeca,9/29/25,35%,62,40,22,38,0.5,1.5,2,1,4.5,4.5,2,3,1,0,0.5,1.5,0,0
Union Square,9/29/25,40%,73,44,29,70,1,3,4.5,2.5,1.5,3.5,3.5,4.5,2,0,0,1,2,0
Upper East Side,9/29/25,46%,74,40,34,49,3.5,2.5,3,1,2.5,2.5,2.5,3.5,3.5,0.5,1.5,3.5,4,0
West 100th,9/29/25,59%,81,33,48,46,0.5,2.5,4,4,2.5,5.5,6,7,6,4,0.5,2.5,3,0
Westport,9/29/25,55%,67,30,37,45,1.5,3.5,3,1,2.5,4.5,4.5,4.5,3.5,3.5,1,4,0,0
Williamsburg,9/29/25,34%,71,47,24,61,3.5,2.5,2,2,2.5,5.5,4.5,1.5,0,0,0,0,0,0
